Time (GMT),Time,Latitude,Longitude,RPM,TPS,Brake,Fuel Flow Rate,Engine Load,Rail Pressure,MAP,Baro,Speed,ECT,IAT,MAF,BAT Volt,EGR,,
52320,05:23:20,1257.4179,7738.3745,1610,7,2,00c0,2b,1200,5c,57,11,4f,43,300,3700,6f,,
52321,05:23:21,1257.4178,7738.3756,1554,7,2,00b6,2f,1100,5a,57,10,4f,43,300,3700,6f,,
52321,05:23:21,1257.4177,7738.3772,1510,7,2,00b2,2f,1100,5a,57,10,4f,42,300,3700,5b,,
52322,05:23:22,1257.4177,7738.3782,1468,0,1,009a,2a,1000,59,57,10,4f,42,300,3700,5b,,
52322,05:23:22,1257.4177,7738.3798,11a0,0,5,00dd,2a,1000,59,57,10,4f,42,200,3700,68,,
52323,05:23:23,1257.4177,7738.3808,1104,0,5,00d4,50,1000,5a,57,0e,4f,42,200,3700,68,,
52323,05:23:23,1257.4177,7738.3821,0fd4,0,5,00ca,50,1000,5a,57,0e,4f,41,200,3700,5e,,
52324,05:23:24,1257.4177,7738.3828,0ea8,0,5,00b6,55,0.00E+00,5a,57,0b,4f,41,268,374a,5e,,
52324,05:23:24,1257.4176,7738.3838,0.00E+00,0,5,00b8,55,0.00E+00,5a,57,0b,4f,41,290,372c,5c,,
52325,05:23:25,,257.4176,,7738.3841,0e3c,0,5,00b7,5a,0dd4,5a,57,0a,4f,41,290,372c,5c
52325,05:23:25,1257.4167,7738.3861,0.00E+00,0,5,00b8,5a,0dd4,5a,57,0a,4f,41,029d,373c,62,,
52326,05:23:26,,257.4165,,7738.3862,0.00E+00,0,5,00b8,5a,0d98,5a,57,7,4f,41,029d,373c,62
52326,05:23:26,1257.3764,7738.477,0.00E+00,0,5,00b7,5a,0d98,5a,57,7,4f,42,282,3711,61,,
52327,05:23:27,1257.3772,7738.4761,0e0c,0,5,00b8,5c,0d70,5a,57,7,4f,42,282,3711,61,,
52327,05:23:27,1257.3776,7738.4771,0.00E+00,0,5,00bb,5c,0d70,5a,57,7,4f,42,298,3708,5d,,
52328,05:23:28,1257.3779,7738.4774,0.00E+00,0,5,00ba,5a,0dd4,5a,57,7,4f,42,298,3708,5d,,
52328,05:23:28,1257.3785,7738.4777,0.00E+00,0,5,00bb,5a,0dd4,5a,57,7,4f,42,282,36f2,5c,,
52329,05:23:29,1257.3795,7738.4786,0dfc,5,2,00f4,5b,0ce4,5a,57,0a,4f,42,282,36f2,5c,,
52329,05:23:29,1257.3797,7738.4789,0fb8,0,1,217,5b,0c00,5a,57,0a,50,42,300,3700,32,,
52330,05:23:30,1257.3809,7738.4794,0ef0,0e,2,01ea,e1,1100,5b,57,0c,50,42,300,3700,32,,
52330,05:23:30,1257.3823,7738.4804,0ff0,1f,2,203,e1,1100,5b,57,0c,50,43,300,3700,5,,
52331,05:23:31,1257.383,7738.4805,117c,3f,2,222,b4,1800,5b,57,0f,50,43,300,3700,5,,
52331,05:23:31,1257.3844,7738.4808,132c,43,2,025b,b4,1800,5b,57,0f,50,43,400,3700,32,,
52332,05:23:32,1257.3854,7738.481,1500,57,2,284,a4,1d00,5d,57,11,50,43,400,3700,32,,
