Time (GMT),Time,RPM,TPS,Brake,Fuel Flow Rate,Engine Load,Rail Pressure,MAP,Baro,Speed,ECT,IAT,MAF,BAT Volt,EGR
47,00:00:47,0ebc,0,5,00cc,5d,0.00E+00,5a,57,6,4f,44,200,3600,65
48,00:00:48,0.00E+00,0,1,00c2,5d,0.00E+00,5a,57,6,4f,44,200,3700,5f
48,00:00:48,0e3c,0,1,00c2,5f,0d00,5a,57,6,4f,44,200,3700,5f
49,00:00:49,0dfc,0,1,00c4,5f,0d00,5a,57,6,4f,44,200,3700,5d
49,00:00:49,0dac,0,1,00d8,6c,0d00,5a,57,6,4f,44,200,3700,5d
50,00:00:50,0.00E+00,0,1,00d8,6c,0d00,5a,57,6,4f,44,200,3700,64
50,00:00:50,0ea0,0,1,00d4,62,0d00,5a,57,6,4f,44,200,3700,64
51,00:00:51,0.00E+00,0,5,00c9,62,0d00,5a,57,6,4f,45,200,3600,64
51,00:00:51,0.00E+00,0,5,00c5,5f,0d00,5a,57,7,4f,45,200,3600,64
52,00:00:52,0.00E+00,0,5,00c5,5f,0d00,5a,57,7,4f,44,200,3600,61
52,00:00:52,0.00E+00,0,5,00c4,5f,0d00,5a,57,8,4f,44,200,3600,61
53,00:00:53,0e3c,0,5,00c5,5f,0d00,5a,57,8,4f,45,300,3600,5
53,00:00:53,0.00E+00,0,5,00c2,5f,0d5c,5a,57,9,4f,45,324,36ce,5
54,00:00:54,0.00E+00,0,5,00c2,5f,0d5c,5a,57,9,4f,45,337,36d9,5
54,00:00:54,0.00E+00,0,5,00c2,5f,0dc0,5a,57,0a,4f,45,337,36d9,5
55,00:00:55,0e1c,0,5,00c2,5f,0dc0,5a,57,0a,4f,45,033e,36c0,5
55,00:00:55,0.00E+00,0,5,00c1,5f,0d20,5a,57,9,4f,45,033e,36c0,5
56,00:00:56,0.00E+00,0,5,00c4,5f,0d20,5a,57,9,4f,45,348,36de,5
56,00:00:56,0.00E+00,0,5,00c2,5f,0d98,5a,57,9,4f,45,348,36de,5
57,00:00:57,0.00E+00,0,5,00c1,5f,0d98,5a,57,9,4f,45,333,36db,5
57,00:00:57,0e2c,0,5,00c5,60,0dc0,5a,57,9,4f,45,333,36db,5
58,00:00:58,0.00E+00,0,5,00c2,60,0dc0,5a,57,9,4f,45,033c,36ec,5
58,00:00:58,0.00E+00,0,5,00c2,5f,0d98,5a,57,9,4f,45,033c,36ec,5
59,00:00:59,0.00E+00,0,5,00c2,5f,0d98,5a,57,9,4f,45,346,36c5,5
59,00:00:59,0e3c,0,5,00c2,5f,0d5c,5a,57,8,4f,45,346,36c5,5
100,00:01:00,0.00E+00,0,5,00c2,5f,0d5c,5a,57,8,50,45,333,36ca,5
100,00:01:00,0.00E+00,0,5,00c1,5f,0d00,5a,57,8,50,45,300,3600,5
101,00:01:01,0.00E+00,0,5,00c2,5f,0d00,5a,57,8,50,45,300,3600,5
101,00:01:01,0.00E+00,0,5,00c2,5f,0d00,5a,57,7,50,45,300,3600,5
102,00:01:02,0e3c,0,5,00c2,5f,0d00,5a,57,7,50,45,300,3600,5
102,00:01:02,0.00E+00,0,5,00c1,5e,0d00,5a,57,6,50,45,300,3600,5
103,00:01:03,0.00E+00,0,5,00c0,5e,0d00,5a,57,6,50,45,300,3600,5
103,00:01:03,0.00E+00,0,5,00c0,5f,0d00,5a,57,6,50,45,300,3600,5
104,00:01:04,0e1c,0,5,00c1,5f,0d00,5a,57,6,50,45,300,3600,5
104,00:01:04,0.00E+00,0,5,00c0,5e,0d00,5a,57,6,50,45,300,3600,5
105,00:01:05,0e3c,0,5,00c0,5e,0d00,5a,57,6,50,45,300,3600,5
105,00:01:05,0.00E+00,0,5,00c0,5f,0d00,5a,57,7,50,45,300,3600,5
106,00:01:06,0.00E+00,0,5,00c1,5f,0d00,5a,57,7,50,45,300,3600,5
106,00:01:06,0.00E+00,0,5,00c0,5e,0d00,5a,57,8,50,45,300,3600,5
107,00:01:07,0.00E+00,0,5,00c0,5e,0d00,5a,57,8,50,45,300,3600,5
107,00:01:07,0e3c,0,5,00be,5d,0dc0,5a,57,8,50,45,335,36db,5
108,00:01:08,0e2c,0,5,00be,5d,0dc0,5a,57,8,50,45,335,36e1,5
108,00:01:08,0.00E+00,0,5,00bd,5d,0dc0,5a,57,8,50,45,335,36e1,5
109,00:01:09,0e1c,0,5,00be,5d,0dc0,5a,57,8,50,45,328,36c8,5
109,00:01:09,0.00E+00,0,5,00bf,5f,0d34,5a,57,7,50,45,328,36c8,5
110,00:01:10,0.00E+00,0,5,00c1,5f,0d34,5a,57,7,50,45,033a,36bd,5
110,00:01:10,0e2c,0,5,00c1,5e,0dc0,5a,57,8,50,45,033a,36bd,5
111,00:01:11,0.00E+00,0,5,00bf,5e,0dc0,5a,57,8,50,45,333,36d8,5
111,00:01:11,0.00E+00,0,5,00c0,5d,0dac,5a,57,6,50,45,333,36d8,5
112,00:01:12,0df4,0,5,00c1,5d,0dac,5a,57,6,50,45,031d,367e,5
112,00:01:12,0.00E+00,0,5,00c3,61,0dac,5a,57,4,50,45,031d,367e,5
113,00:01:13,0e3c,0,5,00c6,61,0dac,5a,57,4,51,45,032b,369a,5
113,00:01:13,0.00E+00,0,5,00c3,5e,0d20,5a,57,5,51,45,032b,369a,5
114,00:01:14,0.00E+00,0,5,00c2,5e,0d20,5a,57,5,51,45,033a,36c0,5
114,00:01:14,0.00E+00,0,5,00c0,5d,0d00,5a,57,4,51,45,300,3600,5
115,00:01:15,0.00E+00,0,5,00be,5d,0d00,5a,57,4,51,45,300,3600,5
115,00:01:15,0e2c,0,5,00bd,5c,0d00,5a,57,2,51,45,300,3600,5
116,00:01:16,0.00E+00,0,5,00bc,5c,0d00,5a,57,2,51,45,300,3600,5
116,00:01:16,0.00E+00,0,5,00bc,5c,0d00,5a,57,0,51,45,300,3600,5
117,00:01:17,0.00E+00,0,5,00bd,5c,0d00,5a,57,0,51,45,300,3600,5
117,00:01:17,0e1c,0,5,00bc,5d,0d00,5a,57,0,51,45,300,3600,5
118,00:01:18,0.00E+00,0,5,00bb,5d,0d00,5a,57,0,51,45,300,3600,5
118,00:01:18,0e2c,0,5,00bc,5c,0d00,5a,57,0,51,45,300,3600,5
119,00:01:19,0e3c,0,5,00bb,5c,0d00,5a,57,0,51,45,300,3600,5
119,00:01:19,0.00E+00,0,5,00ba,5b,0d00,5a,57,0,51,45,300,3600,5
120,00:01:20,0.00E+00,0,5,00bb,5b,0d00,5a,57,0,51,45,300,3600,5
120,00:01:20,0.00E+00,0,5,00bb,5c,0d00,5a,57,0,51,45,300,3600,5
121,00:01:21,0.00E+00,0,5,00bb,5c,0d00,5a,57,0,51,45,300,3600,5
121,00:01:21,0.00E+00,0,5,00ba,5c,0d5c,5a,57,0,51,45,329,36cb,5
122,00:01:22,0e1c,0,5,00b9,5c,0d5c,5a,57,0,51,45,032d,36d2,5
122,00:01:22,0.00E+00,0,5,00ba,5c,0d48,5a,57,0,51,45,032d,36d2,5
